סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
1295 ,יאנוח-ג'ת ,24 ,עכו ,24 ,עכו ,0 , ,7088 ,550 ,1580 ,3100 ,862 ,504 ,492
1296 ,כסרא-סמיע ,24 ,עכו ,24 ,עכו ,0 , ,9541 ,926 ,2351 ,4172 ,990 ,597 ,505
1297 ,כפר חנניה ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,824 ,73 ,203 ,286 ,110 ,87 ,65
1298 ,אתגר ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,33 ,0 ,0 ,9 ,1 ,8 ,15
1303 ,חורה ,62 ,באר שבע ,62 ,באר שבע ,0 , ,21092 ,3575 ,7360 ,7844 ,1295 ,544 ,474
1304 ,שוהם ,43 ,רמלה ,43 ,רמלה ,0 , ,24788 ,1710 ,4975 ,8921 ,3411 ,3138 ,2633
1309 ,אלעד ,42 ,פתח תקווה ,349 ,ראש העין ,0 , ,50370 ,6658 ,18922 ,18256 ,3935 ,1398 ,1201
1310 ,לפיד ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,2243 ,84 ,412 ,811 ,308 ,421 ,207
1311 ,אבשלום ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,460 ,29 ,87 ,156 ,66 ,50 ,72
1313 ,פוריה עילית ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,1433 ,109 ,303 ,516 ,159 ,130 ,216
1314 ,נווה זיו ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,946 ,49 ,255 ,328 ,159 ,95 ,60
1315 ,מתן ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,3479 ,126 ,732 ,1233 ,518 ,598 ,272
1316 ,אל-עריאן ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,190 ,19 ,35 ,88 ,20 ,17 ,11
1317 ,דמיידה ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,579 ,59 ,158 ,215 ,66 ,47 ,34
1318 ,מבואות ים ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,59 ,5 ,18 ,23 ,9 ,3 ,1
1319 ,בת חפר ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,5556 ,220 ,1122 ,2073 ,953 ,783 ,405
1320 ,עין חוד ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,325 ,41 ,73 ,137 ,33 ,24 ,17
1321 ,ח'ואלד ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,789 ,76 ,205 ,312 ,101 ,51 ,44
1322 ,הודיות ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,53 ,10 ,20 ,19 ,2 ,1 ,1
1323 ,בת הדר ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,701 ,35 ,171 ,240 ,103 ,70 ,82
1324 ,ארסוף ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,244 ,22 ,51 ,64 ,46 ,23 ,38
1325 ,כפר זוהרים ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,51 ,15 ,18 ,18 ,0 ,0 ,0
1326 ,בסמ"ה ,32 ,חדרה ,32 ,חדרה ,0 , ,12003 ,1262 ,3072 ,5082 ,1197 ,740 ,650
