id_binyan,t_sug_mivne,ms_komot,gova_simplex_2019,max_height,min_height,shem_mivne,t_amudim,id_binyan_orig,UniqueId,year
35113,מבנה רגיל,1.0,10.74,64.35,53.61, ,לא,91592,513-35113,1960.0
35114,מבנה רגיל,1.0,5.83,61.5,55.67, ,לא,91778,513-35114,1952.0
35115,מבנה רגיל,2.0,13.54,54.31,40.77, ,כן,91002,513-35115,1978.0
35116,מבנה רגיל,2.0,10.32,49.62,39.3, ,לא,90990,513-35116,1992.0
35117,מבנה רגיל,1.0,11.83,59.63,47.8, ,לא,91775,513-35117,2016.0
35118,מבנה רגיל,1.0,8.21,52.75,44.54, ,לא,91823,513-35118,1980.0
35119,מבנה רגיל,1.0,12.84,66.31,53.47, ,לא,130656,513-35119,1951.0
35120,מבנה רגיל,1.0,11.35,56.73,45.38, ,לא,90459,513-35120,1980.0
35121,מבנה רגיל,2.0,10.16,46.34,36.18, ,לא,93242,513-35121,1989.0
35122,מבנה רגיל,2.0,13.41,53.69,40.28, ,כן,91003,513-35122,1974.0
35123,מבנה רגיל,1.0,5.0,49.93,44.93, ,לא,91821,513-35123,1960.0
35124,מבנה רגיל,1.0,10.53,56.55,46.02, ,לא,91814,513-35124,2000.0
35125,מבנה רגיל,1.0,6.84,56.77,49.93, ,לא,91773,513-35125,1951.0
35126,מבנה רגיל,1.0,9.28,63.68,54.4, ,לא,91774,513-35126,1985.0
35127,מבנה רגיל,2.0,10.09,49.14,39.05, ,לא,90996,513-35127,1993.0
35129,מבנה רגיל,2.0,12.03,47.6,35.57, ,לא,93245,513-35129,1994.0
35130,מבנה רגיל,1.0,6.95,53.8,46.85, ,לא,91812,513-35130,1953.0
35131,מבנה רגיל,2.0,15.01,54.98,39.97, ,כן,91007,513-35131,1981.0
35132,מבנה רגיל,1.0,16.42,67.6,51.18, ,לא,91771,513-35132,1960.0
35133,מבנה רגיל,1.0,11.61,57.24,45.63, ,לא,91819,513-35133,1964.0
35134,מבנה רגיל,1.0,5.98,52.52,46.54, ,לא,90455,513-35134,1959.0
35135,מבנה רגיל,1.0,11.16,58.09,46.93, ,לא,91810,513-35135,2008.0
35136,מבנה רגיל,2.0,14.68,54.49,39.81, ,כן,91014,513-35136,1976.0
35137,מבנה רגיל,2.0,8.3,55.19,46.89, ,לא,90453,513-35137,1989.0
35138,מבנה רגיל,1.0,6.28,55.1,48.82, ,לא,130658,513-35138,1951.0
35140,מבנה רגיל,1.0,6.9,54.48,47.58, ,לא,90451,513-35140,1959.0
35141,מבנה רגיל,2.0,9.75,48.81,39.06, ,לא,91017,513-35141,1972.0
35142,מבנה בבנייה,1.0,10.62,58.13,47.51, ,לא,91813,513-35142,2009.0
35143,מבנה רגיל,1.0,5.25,54.5,49.25, ,לא,91806,513-35143,1952.0
35144,מבנה רגיל,3.0,12.35,52.48,40.13, ,לא,91018,513-35144,1975.0
35146,מבנה רגיל,2.0,7.94,60.23,52.29, ,לא,91770,513-35146,1972.0
35148,מבנה רגיל,2.0,8.84,60.67,51.83, ,לא,91583,513-35148,1958.0
35149,מבנה רגיל,2.0,8.55,56.89,48.34, ,לא,90446,513-35149,1998.0
35150,מבנה רגיל,1.0,15.33,64.19,48.86, ,לא,91809,513-35150,1959.0
35152,מבנה רגיל,1.0,6.84,56.57,49.73, ,לא,91807,513-35152,2003.0
35153,מבנה רגיל,1.0,18.16,67.33,49.17, ,לא,90442,513-35153,1953.0
35154,מבנה רגיל,1.0,5.73,55.19,49.46, ,לא,90439,513-35154,1951.0
35156,מבנה רגיל,2.0,9.91,61.25,51.34, ,לא,91574,513-35156,1996.0
35158,מבנה רגיל,1.0,6.06,58.2,52.14, ,לא,90431,513-35158,1953.0
35159,מבנה רגיל,2.0,13.5,44.3,30.8, ,כן,100414,513-35159,1971.0
35160,מבנה רגיל,2.0,14.84,44.58,29.74, ,כן,91033,513-35160,1977.0
35161,מבנה רגיל,2.0,13.76,43.26,29.5, ,כן,91035,513-35161,1981.0
35162,מבנה רגיל,2.0,14.42,44.11,29.69, ,כן,91040,513-35162,1982.0
35163,מבנה רגיל,2.0,15.48,47.82,32.34, ,כן,100416,513-35163,1978.0
35164,מבנה רגיל,2.0,14.19,44.5,30.31, ,כן,90907,513-35164,1976.0
35165,מבנה רגיל,2.0,14.22,43.85,29.63, ,כן,144321,513-35165,1977.0
35166,מבנה רגיל,2.0,13.39,46.71,33.32, ,כן,100418,513-35166,1978.0
35167,מבנה רגיל,2.0,14.67,45.32,30.65, ,כן,90911,513-35167,1972.0
35168,מבנה רגיל,2.0,12.17,41.65,29.48, ,לא,91086,513-35168,1982.0
35169,מבנה רגיל,2.0,20.77,51.54,30.77, ,כן,90914,513-35169,1972.0
35170,מבנה רגיל,2.0,13.83,45.55,31.72, ,כן,91052,513-35170,1982.0
35171,מבנה רגיל,2.0,13.3,45.69,32.39, ,לא,90878,513-35171,1974.0
35172,מבנה רגיל,2.0,14.13,50.59,36.46, ,לא,91420,513-35172,1996.0
35173,מבנה רגיל,2.0,13.76,51.9,38.14, ,כן,91451,513-35173,
35174,מבנה רגיל,2.0,13.66,49.34,35.68, ,כן,91435,513-35174,1994.0
35176,מבנה רגיל,3.0,12.76,35.55,22.79, ,לא,91289,513-35176,1994.0
35177,מבנה רגיל,2.0,11.55,36.55,25.0, ,לא,91295,513-35177,1995.0
35178,מבנה רגיל,3.0,20.91,50.71,29.8, ,כן,145677,513-35178,2001.0
35180,מבנה רגיל,2.0,9.8,33.93,24.13, ,לא,91136,513-35180,1998.0
