iter	Passed	Remaining
925	79964	49567
926	80050	49480
927	80125	49387
928	80227	49310
929	80326	49232
930	80400	49138
931	80476	49045
932	80564	48960
933	80652	48875
934	80720	48777
935	80810	48693
936	80894	48606
937	80977	48517
938	81039	48416
939	81132	48334
940	81237	48258
941	81322	48171
942	81406	48084
943	81490	47996
944	81569	47906
945	81647	47815
946	81738	47731
947	81817	47640
948	81895	47549
949	81974	47459
950	82056	47369
951	82156	47291
952	82246	47207
953	82314	47110
954	82394	47020
955	82478	46933
956	82562	46845
957	82643	46756
958	82760	46687
959	82836	46595
960	82952	46525
961	83054	46448
962	83126	46353
963	83210	46266
964	83298	46180
965	83384	46094
966	83466	46005
967	83549	45917
968	83672	45851
969	83757	45764
970	83829	45670
971	83922	45587
972	83994	45493
973	84071	45401
974	84166	45320
975	84265	45241
976	84346	45151
977	84407	45051
978	84483	44960
979	84584	44881
980	84653	44786
981	84737	44698
982	84836	44618
983	84939	44541
984	85011	44447
985	85087	44355
986	85164	44264
987	85264	44185
988	85353	44100
989	85435	44012
990	85528	43929
991	85601	43836
992	85660	43735
993	85767	43660
994	85843	43568
995	85931	43483
996	86003	43390
997	86088	43303
998	86192	43225
999	86275	43137
1000	86362	43051
1001	86450	42966
1002	86532	42878
1003	86612	42788
1004	86692	42699
1005	86774	42610
1006	86839	42514
1007	86929	42429
1008	86999	42335
1009	87078	42246
1010	87162	42158
1011	87238	42067
1012	87320	41979
1013	87418	41898
1014	87499	41809
1015	87576	41719
1016	87670	41637
1017	87766	41555
1018	87845	41465
1019	87949	41387
1020	88016	41292
1021	88133	41220
1022	88207	41128
1023	88304	41047
1024	88376	40954
1025	88451	40863
1026	88526	40772
1027	88606	40683
1028	88683	40592
1029	88777	40509
1030	88874	40428
1031	88951	40338
1032	89038	40252
1033	89120	40164
1034	89199	40075
1035	89273	39983
1036	89338	39887
1037	89413	39796
1038	89513	39716
1039	89580	39622
1040	89657	39531
1041	89742	39445
1042	89851	39369
1043	89915	39273
1044	89988	39181
1045	90045	39083
1046	90153	39006
